TYPE SECTOR
NAME CUBE1

FACE 99 IS_TEX_SPACE FRONT stone.ppm
FACE 99 IS_INVISIBLE
FACE 3 USES_TEX_SPACE FRONT
FACE 12 USES_TEX_SPACE FRONT
FACE 13 USES_TEX_SPACE FRONT
FACE 14 USES_TEX_SPACE FRONT
FACE 51 USES_TEX_SPACE FRONT
FACE 52 USES_TEX_SPACE FRONT
FACE 53 USES_TEX_SPACE FRONT
FACE 54 USES_TEX_SPACE FRONT
FACE 55 USES_TEX_SPACE FRONT
FACE 56 USES_TEX_SPACE FRONT
FACE 57 USES_TEX_SPACE FRONT
FACE 58 USES_TEX_SPACE FRONT
FACE 59 USES_TEX_SPACE FRONT
FACE 84 USES_TEX_SPACE FRONT
FACE 85 USES_TEX_SPACE FRONT
FACE 86 USES_TEX_SPACE FRONT

FACE 100 IS_TEX_SPACE LEFT stone.ppm
FACE 100 IS_INVISIBLE
FACE 4 USES_TEX_SPACE LEFT
FACE 9 USES_TEX_SPACE LEFT
FACE 10 USES_TEX_SPACE LEFT
FACE 11 USES_TEX_SPACE LEFT
FACE 60 USES_TEX_SPACE LEFT
FACE 61 USES_TEX_SPACE LEFT
FACE 62 USES_TEX_SPACE LEFT
FACE 63 USES_TEX_SPACE LEFT
FACE 64 USES_TEX_SPACE LEFT
FACE 65 USES_TEX_SPACE LEFT
FACE 66 USES_TEX_SPACE LEFT
FACE 67 USES_TEX_SPACE LEFT
FACE 68 USES_TEX_SPACE LEFT
FACE 81 USES_TEX_SPACE LEFT
FACE 82 USES_TEX_SPACE LEFT
FACE 83 USES_TEX_SPACE LEFT

FACE 96 IS_TEX_SPACE TOP stone.ppm
FACE 1 USES_TEX_SPACE TOP
FACE 18 USES_TEX_SPACE TOP
FACE 19 USES_TEX_SPACE TOP
FACE 20 USES_TEX_SPACE TOP
FACE 33 USES_TEX_SPACE TOP
FACE 34 USES_TEX_SPACE TOP
FACE 35 USES_TEX_SPACE TOP
FACE 36 USES_TEX_SPACE TOP
FACE 37 USES_TEX_SPACE TOP
FACE 38 USES_TEX_SPACE TOP
FACE 39 USES_TEX_SPACE TOP
FACE 40 USES_TEX_SPACE TOP
FACE 41 USES_TEX_SPACE TOP
FACE 90 USES_TEX_SPACE TOP
FACE 91 USES_TEX_SPACE TOP
FACE 92 USES_TEX_SPACE TOP

FACE 101 IS_TEX_SPACE RIGHT stone.ppm
FACE 101 IS_INVISIBLE
FACE 2 USES_TEX_SPACE RIGHT
FACE 15 USES_TEX_SPACE RIGHT
FACE 16 USES_TEX_SPACE RIGHT
FACE 17 USES_TEX_SPACE RIGHT
FACE 42 USES_TEX_SPACE RIGHT
FACE 43 USES_TEX_SPACE RIGHT
FACE 44 USES_TEX_SPACE RIGHT
FACE 45 USES_TEX_SPACE RIGHT
FACE 46 USES_TEX_SPACE RIGHT
FACE 47 USES_TEX_SPACE RIGHT
FACE 48 USES_TEX_SPACE RIGHT
FACE 49 USES_TEX_SPACE RIGHT
FACE 50 USES_TEX_SPACE RIGHT
FACE 87 USES_TEX_SPACE RIGHT
FACE 88 USES_TEX_SPACE RIGHT
FACE 89 USES_TEX_SPACE RIGHT

FACE 98 IS_TEX_SPACE BACK stone.ppm
FACE 5 USES_TEX_SPACE BACK
FACE 6 USES_TEX_SPACE BACK
FACE 7 USES_TEX_SPACE BACK
FACE 8 USES_TEX_SPACE BACK
FACE 69 USES_TEX_SPACE BACK
FACE 70 USES_TEX_SPACE BACK
FACE 71 USES_TEX_SPACE BACK
FACE 72 USES_TEX_SPACE BACK
FACE 73 USES_TEX_SPACE BACK
FACE 74 USES_TEX_SPACE BACK
FACE 75 USES_TEX_SPACE BACK
FACE 76 USES_TEX_SPACE BACK
FACE 77 USES_TEX_SPACE BACK
FACE 78 USES_TEX_SPACE BACK
FACE 79 USES_TEX_SPACE BACK
FACE 80 USES_TEX_SPACE BACK

FACE 97 IS_TEX_SPACE BOTTOM stone.ppm
FACE 0 USES_TEX_SPACE BOTTOM
FACE 21 USES_TEX_SPACE BOTTOM
FACE 22 USES_TEX_SPACE BOTTOM
FACE 23 USES_TEX_SPACE BOTTOM
FACE 24 USES_TEX_SPACE BOTTOM
FACE 25 USES_TEX_SPACE BOTTOM
FACE 26 USES_TEX_SPACE BOTTOM
FACE 27 USES_TEX_SPACE BOTTOM
FACE 28 USES_TEX_SPACE BOTTOM
FACE 29 USES_TEX_SPACE BOTTOM
FACE 30 USES_TEX_SPACE BOTTOM
FACE 31 USES_TEX_SPACE BOTTOM
FACE 32 USES_TEX_SPACE BOTTOM
FACE 93 USES_TEX_SPACE BOTTOM
FACE 94 USES_TEX_SPACE BOTTOM
FACE 95 USES_TEX_SPACE BOTTOM
