NAME ROOM1
TYPE SECTOR

FACE 99 IS_TEX_SPACE front stone.ppm
FACE 99 IS_INVISBLE
FACE 98 IS_TEX_SPACE back stone.ppm
FACE 98 IS_INVISIBLE
FACE 96 IS_TEX_SPACE right stone.ppm
FACE 96 IS_INVISIBLE
FACE 97 IS_TEX_SPACE left stone.ppm
FACE 97 IS_INVISIBLE
FACE 100 IS_TEX_SPACE top stone.ppm
FACE 100 IS_INVISIBLE
FACE 101 IS_TEX_SPACE bottom stone.ppm
FACE 101 IS_INVISIBLE
FACE 4 USES_TEX_SPACE left
FACE 9 USES_TEX_SPACE left
FACE 10 USES_TEX_SPACE left
FACE 11 USES_TEX_SPACE left
FACE 58 USES_TEX_SPACE left
FACE 59 USES_TEX_SPACE left
FACE 60 USES_TEX_SPACE left
FACE 61 USES_TEX_SPACE left
FACE 62 USES_TEX_SPACE left
FACE 63 USES_TEX_SPACE left
FACE 64 USES_TEX_SPACE left
FACE 65 USES_TEX_SPACE left
FACE 66 USES_TEX_SPACE left
FACE 79 USES_TEX_SPACE left
FACE 80 USES_TEX_SPACE left
FACE 81 USES_TEX_SPACE left
FACE 2 USES_TEX_SPACE right
FACE 15 USES_TEX_SPACE right
FACE 16 USES_TEX_SPACE right
FACE 17 USES_TEX_SPACE right
FACE 42 USES_TEX_SPACE right
FACE 43 USES_TEX_SPACE right
FACE 44 USES_TEX_SPACE right
FACE 45 USES_TEX_SPACE right
FACE 46 USES_TEX_SPACE right
FACE 47 USES_TEX_SPACE right
FACE 48 USES_TEX_SPACE right
FACE 85 USES_TEX_SPACE right
FACE 92 USES_TEX_SPACE right
FACE 93 USES_TEX_SPACE right
FACE 94 USES_TEX_SPACE right
FACE 3 USES_TEX_SPACE back
FACE 12 USES_TEX_SPACE back
FACE 13 USES_TEX_SPACE back
FACE 14 USES_TEX_SPACE back
FACE 49 USES_TEX_SPACE back
FACE 50 USES_TEX_SPACE back
FACE 51 USES_TEX_SPACE back
FACE 52 USES_TEX_SPACE back
FACE 53 USES_TEX_SPACE back
FACE 54 USES_TEX_SPACE back
FACE 55 USES_TEX_SPACE back
FACE 56 USES_TEX_SPACE back
FACE 57 USES_TEX_SPACE back
FACE 82 USES_TEX_SPACE back
FACE 83 USES_TEX_SPACE back
FACE 84 USES_TEX_SPACE back
FACE 5 USES_TEX_SPACE front
FACE 6 USES_TEX_SPACE front
FACE 7 USES_TEX_SPACE front
FACE 8 USES_TEX_SPACE front
FACE 67 USES_TEX_SPACE front
FACE 68 USES_TEX_SPACE front
FACE 69 USES_TEX_SPACE front
FACE 70 USES_TEX_SPACE front
FACE 71 USES_TEX_SPACE front
FACE 72 USES_TEX_SPACE front
FACE 73 USES_TEX_SPACE front
FACE 74 USES_TEX_SPACE front
FACE 75 USES_TEX_SPACE front
FACE 76 USES_TEX_SPACE front
FACE 77 USES_TEX_SPACE front
FACE 78 USES_TEX_SPACE front
FACE 0 USES_TEX_SPACE bottom
FACE 21 USES_TEX_SPACE bottom
FACE 22 USES_TEX_SPACE bottom
FACE 23 USES_TEX_SPACE bottom
FACE 24 USES_TEX_SPACE bottom
FACE 25 USES_TEX_SPACE bottom
FACE 26 USES_TEX_SPACE bottom
FACE 27 USES_TEX_SPACE bottom
FACE 28 USES_TEX_SPACE bottom
FACE 29 USES_TEX_SPACE bottom
FACE 30 USES_TEX_SPACE bottom
FACE 31 USES_TEX_SPACE bottom
FACE 32 USES_TEX_SPACE bottom
FACE 89 USES_TEX_SPACE bottom
FACE 90 USES_TEX_SPACE bottom
FACE 91 USES_TEX_SPACE bottom
FACE 95 USES_TEX_SPACE bottom
FACE 1 USES_TEX_SPACE top
FACE 18  USES_TEX_SPACE top
FACE 19  USES_TEX_SPACE top
FACE 20  USES_TEX_SPACE top
FACE 33  USES_TEX_SPACE top
FACE 34  USES_TEX_SPACE top
FACE 35  USES_TEX_SPACE top
FACE 36  USES_TEX_SPACE top
FACE 37  USES_TEX_SPACE top
FACE 38  USES_TEX_SPACE top
FACE 39  USES_TEX_SPACE top
FACE 40  USES_TEX_SPACE top
FACE 41  USES_TEX_SPACE top
FACE 86  USES_TEX_SPACE top
FACE 87  USES_TEX_SPACE top
FACE 88  USES_TEX_SPACE top
